,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
82,Hotel Belvedere,https://www.tripadvisor.com/Hotel_Review-g274707-d276519-Reviews-Hotel_Belvedere-Prague_Bohemia.html,Prague,975 ,,2022/01/01,2022/01/05,,Hotels.com,15,
83,"Holiday Inn Prague Airport, an IHG hotel",https://www.tripadvisor.com/Hotel_Review-g274707-d1212532-Reviews-Holiday_Inn_Prague_Airport_an_IHG_hotel-Prague_Bohemia.html,Prague,633 ,,2022/01/01,2022/01/05,,Hotels.com,16,
84,MOOo Downtown,https://www.tripadvisor.com/Hotel_Review-g274707-d7034639-Reviews-MOOo_Downtown-Prague_Bohemia.html,Prague,719 ,,2022/01/01,2022/01/05,,Expedia.com,13,
85,Hotel Klarov,https://www.tripadvisor.com/Hotel_Review-g274707-d1986610-Reviews-Hotel_Klarov-Prague_Bohemia.html,Prague,728 ,,2022/01/01,2022/01/05,,Hotels.com,18,
86,The Gold Bank Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d23485746-Reviews-The_Gold_Bank_Hotel-Prague_Bohemia.html,Prague,14 ,,2022/01/01,2022/01/05,,Travelocity,10,
87,Hotel Rott,https://www.tripadvisor.com/Hotel_Review-g274707-d280317-Reviews-Hotel_Rott-Prague_Bohemia.html,Prague,1980 ,,2022/01/01,2022/01/05,,Booking.com,11,
88,Hostel Orange Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d2014433-Reviews-Hostel_Orange_Prague-Prague_Bohemia.html,Prague,269 ,,2022/01/01,2022/01/05,,Hotels.com,12,
89,Hotel Tivoli,https://www.tripadvisor.com/Hotel_Review-g274707-d535540-Reviews-Hotel_Tivoli-Prague_Bohemia.html,Prague,636 ,,2022/01/01,2022/01/05,,Expedia.com,12,
90,Hotel Schwaiger,https://www.tripadvisor.com/Hotel_Review-g274707-d280324-Reviews-Hotel_Schwaiger-Prague_Bohemia.html,Prague,141 ,,2022/01/01,2022/01/05,,Expedia.com,15,
91,Boutique Hotel Constans,https://www.tripadvisor.com/Hotel_Review-g274707-d280310-Reviews-Boutique_Hotel_Constans-Prague_Bohemia.html,Prague,1065 ,,2022/01/01,2022/01/05,,Expedia.com,14,
92,La Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d280318-Reviews-La_Boutique_Hotel-Prague_Bohemia.html,Prague,654 ,,2022/01/01,2022/01/05,,Hotels.com,11,
93,Rosemary Hostel,https://www.tripadvisor.com/Hotel_Review-g274707-d596807-Reviews-Rosemary_Hostel-Prague_Bohemia.html,Prague,300 ,,2022/01/01,2022/01/05,,Hotels.com,10,
94,Prague Centre Plaza,https://www.tripadvisor.com/Hotel_Review-g274707-d647985-Reviews-Prague_Centre_Plaza-Prague_Bohemia.html,Prague,596 ,,2022/01/01,2022/01/05,,Hotels.com,14,
